event_id,user_id,product_id,event_type,event_timestamp
E00000001,U009798,P001393,cart,2025-07-08T14:28:55.893919
E00000002,U005881,P000669,view,2025-10-19T23:00:44.067982
E00000003,U006348,P001404,view,2025-05-09T07:02:42.256662
E00000004,U002664,P000400,cart,2025-07-19T22:47:07.019634
E00000005,U005776,P000392,view,2024-10-24T10:20:33.602165
E00000006,U002711,P001643,view,2024-12-20T11:02:39.321604
E00000007,U003726,P000370,view,2024-06-06T05:16:39.778558
E00000008,U002658,P001221,view,2025-03-31T05:39:53.288602
E00000009,U001433,P000240,view,2024-10-17T08:29:00.460950
E00000010,U000431,P000652,view,2024-10-27T10:56:00.683131
E00000011,U006564,P000964,cart,2024-05-14T20:16:16.449778
E00000012,U001624,P000804,view,2024-09-24T04:48:55.344093
E00000013,U002760,P001325,view,2025-05-04T01:27:16.661242
E00000014,U007024,P000853,view,2024-02-03T18:43:05.454853
E00000015,U000620,P001876,view,2025-06-01T01:40:59.999766
E00000016,U003054,P001897,cart,2025-01-22T17:59:08.816164
E00000017,U000590,P001507,wishlist,2024-03-15T06:29:00.451806
E00000018,U006085,P001032,view,2025-01-31T00:53:09.718151
E00000019,U005322,P000803,view,2024-05-09T20:32:43.072567
E00000020,U007213,P001329,cart,2025-07-24T08:26:06.576069
E00000021,U009137,P000673,purchase,2025-05-22T00:17:41.987947
E00000022,U009646,P001197,view,2025-08-02T17:28:42.107093
E00000023,U007699,P001054,view,2025-04-17T09:36:04.931291
E00000024,U008388,P000667,view,2024-09-22T20:54:36.528588
E00000025,U005488,P001097,view,2024-03-10T05:16:12.792999
E00000026,U005803,P001200,view,2024-10-14T05:28:27.858498
E00000027,U008527,P000731,wishlist,2025-03-01T17:13:23.848738
E00000028,U008911,P000529,cart,2025-05-24T09:48:47.400749
E00000029,U001502,P000889,view,2024-06-22T05:30:47.306733
E00000030,U008635,P001982,view,2025-04-03T04:04:27.211958
E00000031,U000389,P001458,view,2024-06-14T23:30:49.480372
E00000032,U008382,P001933,view,2025-07-13T10:20:37.880388
E00000033,U001394,P001336,view,2025-08-02T04:18:00.352375
E00000034,U007513,P001432,cart,2024-10-10T04:11:08.823875
E00000035,U001778,P000985,cart,2025-02-20T18:28:28.874559
E00000036,U005831,P000743,cart,2025-07-26T15:35:07.277598
E00000037,U004789,P001011,view,2024-03-04T22:23:41.570438
E00000038,U004574,P001618,view,2025-11-05T00:27:44.713445
E00000039,U000333,P001285,view,2025-06-21T04:05:09.426429
E00000040,U008299,P000302,view,2025-01-10T01:31:41.677331
E00000041,U008366,P000492,cart,2024-03-22T08:26:19.070749
E00000042,U004131,P001885,view,2025-07-25T03:39:50.526733
E00000043,U009747,P001986,wishlist,2024-07-15T12:35:28.562509
E00000044,U002941,P001089,view,2025-01-25T07:46:54.345458
E00000045,U002127,P000793,view,2024-04-13T06:18:25.760957
E00000046,U005122,P001520,purchase,2024-08-02T01:12:04.696148
E00000047,U002801,P000595,view,2025-04-27T21:44:27.165399
E00000048,U008317,P001919,view,2025-09-06T09:55:36.674212
E00000049,U002296,P000690,view,2025-04-17T05:55:32.923652
E00000050,U003567,P000774,view,2025-11-14T22:53:22.000010
E00000051,U008098,P000750,view,2024-08-03T10:07:58.197442
E00000052,U006126,P000886,wishlist,2024-06-23T12:19:32.814740
E00000053,U005702,P000004,view,2025-02-25T08:06:37.755948
E00000054,U008851,P000519,view,2024-07-30T19:44:33.012398
E00000055,U001270,P000934,view,2025-01-03T03:38:45.237025
E00000056,U009943,P001183,view,2024-08-27T14:27:22.050736
E00000057,U008468,P000400,view,2024-05-08T12:18:06.303721
E00000058,U002673,P001697,cart,2025-05-12T07:58:25.987568
E00000059,U007078,P000646,view,2024-01-06T00:09:38.422986
E00000060,U005462,P000488,view,2025-01-11T20:53:22.613910
E00000061,U005820,P000313,view,2025-06-21T22:46:52.737405
E00000062,U006466,P000640,view,2025-06-17T12:18:18.167528
E00000063,U002489,P001387,view,2024-09-13T11:11:13.945129
E00000064,U003579,P001598,view,2024-03-19T11:01:32.751806
E00000065,U002592,P001853,view,2025-05-28T07:08:49.301855
E00000066,U000837,P001271,purchase,2024-03-16T11:14:40.620338
E00000067,U003275,P001425,cart,2025-09-17T16:58:49.807736
E00000068,U000764,P001738,cart,2025-04-24T19:54:49.878303
E00000069,U000942,P000725,wishlist,2024-09-12T22:25:19.005441
E00000070,U004411,P001869,view,2024-01-13T01:13:38.649017
E00000071,U009913,P001348,view,2024-09-10T17:59:41.414318
E00000072,U005873,P000296,view,2025-06-08T02:45:48.871978
E00000073,U003203,P001552,view,2025-06-22T21:08:17.058414
E00000074,U000526,P000530,view,2025-02-18T12:11:30.081696
E00000075,U001536,P000853,view,2024-10-09T16:40:41.790862
E00000076,U001422,P001083,view,2025-05-16T06:37:01.252729
E00000077,U004957,P001313,view,2024-02-20T00:58:37.351559
E00000078,U009261,P001645,view,2025-06-15T02:46:34.699183
E00000079,U002015,P001719,view,2025-10-10T04:35:13.991158
E00000080,U006397,P001524,view,2025-06-24T08:09:20.183401
E00000081,U003446,P001248,wishlist,2025-03-30T05:25:37.972323
E00000082,U006559,P000898,view,2024-05-23T04:36:58.313709
E00000083,U006134,P000207,view,2025-03-19T06:55:58.043197
E00000084,U008263,P000300,view,2024-09-30T14:23:50.276094
E00000085,U007210,P000402,view,2024-02-12T04:48:48.465765
E00000086,U007771,P000438,view,2025-03-01T08:46:36.606092
E00000087,U003336,P000228,view,2024-06-11T01:41:45.719542
E00000088,U004588,P000369,view,2025-01-03T07:08:49.957134
E00000089,U003663,P001832,cart,2024-03-19T01:49:29.418421
