order_id,user_id,order_date,order_status,total_amount
O00000001,U009310,2025-09-09T14:52:37.292731,processing,689.66
O00000002,U003247,2025-04-15T01:18:27.193404,completed,1666.85
O00000003,U007252,2025-04-27T15:37:48.008624,processing,665.06
O00000004,U008986,2025-10-04T20:35:22.204857,cancelled,689.5
O00000005,U008537,2024-11-13T08:15:18.498252,cancelled,860.5
O00000006,U003449,2024-10-13T09:02:26.848944,completed,2258.34
O00000007,U006985,2024-05-01T04:44:56.418188,returned,769.71
O00000008,U007661,2024-03-03T23:33:22.844913,completed,15.21
O00000009,U000610,2025-10-29T07:00:11.203638,cancelled,229.02
O00000010,U003175,2024-08-13T07:04:24.298799,returned,107.63
O00000011,U004470,2025-08-14T09:59:55.223975,shipped,1016.61
O00000012,U009480,2025-08-27T09:57:48.992495,cancelled,600.23
O00000013,U003631,2025-01-03T18:04:29.010457,processing,15.87
O00000014,U009493,2025-06-15T22:26:58.985044,shipped,520.96
O00000015,U003336,2024-07-16T18:07:56.184332,returned,1416.93
O00000016,U006392,2025-10-01T07:52:15.796147,processing,127.42
O00000017,U006684,2024-08-05T20:28:39.309665,processing,227.48
O00000018,U000792,2024-11-10T21:40:57.180283,cancelled,601.16
O00000019,U004785,2024-11-26T15:18:00.423573,returned,135.38
O00000020,U007957,2024-07-13T06:57:25.769991,completed,398.84
O00000021,U002529,2025-07-30T08:08:33.421591,completed,209.51
O00000022,U004486,2024-08-28T22:17:59.087219,shipped,1072.94
O00000023,U007432,2024-05-19T11:26:48.773841,returned,119.02
O00000024,U003345,2025-06-20T17:10:48.147887,completed,803.47
O00000025,U006241,2024-01-23T02:00:10.375804,shipped,521.99
O00000026,U000638,2025-06-24T23:57:30.673090,shipped,54.13
O00000027,U006102,2025-10-31T11:20:46.870987,returned,495.94
O00000028,U007489,2024-01-09T07:28:10.638443,processing,334.14
O00000029,U006599,2025-05-23T18:15:57.806458,shipped,950.63
O00000030,U002144,2024-02-07T15:08:03.396213,shipped,265.14
O00000031,U007162,2024-11-19T07:31:43.816286,cancelled,4942.06
O00000032,U007933,2024-03-18T17:21:40.789857,returned,194.49
O00000033,U000286,2024-05-29T17:27:31.175330,processing,2028.84
O00000034,U001759,2025-10-23T14:39:53.536172,completed,366.56
O00000035,U007158,2024-02-19T10:35:26.319332,processing,55.44
O00000036,U009692,2024-05-14T21:27:14.167079,cancelled,858.97
O00000037,U002635,2025-11-03T23:18:22.552762,completed,19.77
O00000038,U004419,2025-06-30T05:15:33.265938,shipped,1797.9
O00000039,U005127,2024-11-09T01:20:49.223031,shipped,2803.64
O00000040,U002158,2025-11-03T21:23:24.064700,returned,82.61
O00000041,U000891,2024-02-12T19:23:23.731212,processing,67.1
O00000042,U007175,2025-05-05T12:29:18.506335,shipped,274.27
O00000043,U005178,2024-06-05T17:15:52.359642,returned,351.45
O00000044,U008621,2025-11-06T10:56:40.562956,shipped,158.28
O00000045,U003734,2024-03-31T19:14:31.354492,shipped,124.94
O00000046,U007376,2024-02-09T11:42:31.042546,processing,489.21
O00000047,U004124,2024-04-13T23:26:42.620823,cancelled,852.12
O00000048,U005265,2024-10-29T06:00:16.627700,returned,834.55
O00000049,U000067,2024-06-06T06:24:36.744927,processing,217.17
O00000050,U008607,2024-09-21T00:41:15.550669,processing,225.99
O00000051,U001487,2025-03-24T09:25:52.188451,returned,49.59
O00000052,U006522,2024-09-13T23:23:40.280154,processing,834.66
O00000053,U001555,2024-06-18T14:09:39.579337,returned,593.67
O00000054,U003166,2024-04-14T00:52:49.163833,cancelled,133.02
O00000055,U005524,2024-10-07T17:26:47.586369,processing,188.7
O00000056,U003377,2024-01-13T09:15:18.977408,cancelled,229.11
O00000057,U003939,2024-04-08T22:25:04.246351,returned,18.64
O00000058,U002279,2024-09-16T16:27:35.475362,shipped,31.39
O00000059,U004843,2024-03-27T22:03:32.179396,processing,93.94
O00000060,U004239,2025-05-18T12:26:50.081962,processing,24.35
O00000061,U003431,2025-08-30T23:24:52.555376,processing,1058.07
O00000062,U009887,2024-09-28T22:07:38.713420,shipped,1592.0
O00000063,U001271,2024-02-24T19:27:27.788267,completed,1087.18
O00000064,U006235,2025-09-07T08:53:29.710215,cancelled,1269.08
O00000065,U009764,2025-08-10T14:12:56.631464,returned,1313.93
O00000066,U003806,2025-02-24T21:30:03.711572,cancelled,1493.59
O00000067,U001740,2024-04-06T15:52:23.904834,completed,197.83
O00000068,U005875,2024-02-10T22:08:32.431325,completed,403.18
O00000069,U007490,2025-03-22T23:03:28.498989,processing,2659.83
O00000070,U004383,2024-08-28T20:23:05.791273,cancelled,2118.73
O00000071,U008449,2025-05-26T23:44:41.739837,completed,222.12
O00000072,U007276,2024-03-13T13:49:45.348773,shipped,586.48
O00000073,U000383,2025-01-18T01:09:42.840753,returned,48.09
O00000074,U001053,2024-10-10T10:10:23.025728,shipped,52.93
O00000075,U003631,2025-04-14T15:40:35.089192,processing,420.44
O00000076,U006851,2025-08-15T00:34:10.086751,completed,357.16
O00000077,U005127,2024-12-31T15:25:19.808395,cancelled,1836.0
O00000078,U005863,2025-03-31T20:24:31.152145,shipped,186.4
O00000079,U008184,2025-06-21T13:36:12.193737,shipped,1266.95
O00000080,U007964,2025-05-12T17:07:08.645210,completed,383.26
O00000081,U000280,2024-04-19T23:38:20.300092,processing,777.99
O00000082,U002630,2024-07-17T14:13:08.769714,completed,1206.21
O00000083,U004873,2024-10-10T03:29:56.568315,processing,25.52
O00000084,U004193,2025-05-29T01:07:55.910744,shipped,77.27
O00000085,U009453,2024-12-10T13:32:48.943111,processing,661.52
O00000086,U004906,2025-04-14T17:21:35.501991,processing,281.05
O00000087,U002432,2025-10-07T21:05:06.628040,cancelled,168.44
O00000088,U001613,2024-12-26T04:21:18.902963,cancelled,83.17
O00000089,U004756,2025-06-15T16:01:43.601855,returned,751.36
O00000090,U003655,2025-09-13T09:02:15.898009,cancelled,57.1
O00000091,U006570,2024-01-23T19:27:57.908912,completed,1707.41
O00000092,U001781,2025-11-05T21:48:45.912756,cancelled,253.86
O00000093,U002932,2024-04-13T04:02:02.471458,completed,95.4
O00000094,U008738,2025-05-02T01:53:35.294861,cancelled,14.99
O00000095,U002227,2025-10-24T13:48:18.644697,processing,52.87
O00000096,U002173,2024-07-28T13:12:40.750905,shipped,178.96
O00000097,U002710,2024-11-29T11:23:36.772097,processing,100.3
O00000098,U001491,2024-10-06T16:57:56.200074,cancelled,1435.2
O00000099,U006836,2025-06-03T06:26:34.186138,completed,256.9
O00000100,U007744,2025-01-27T04:41:33.881335,returned,1583.93
O00000101,U009367,2024-08-02T03:02:37.609226,shipped,312.65
O00000102,U000795,2024-08-12T10:45:05.387227,processing,544.65
O00000103,U008095,2024-11-08T16:45:07.140379,cancelled,226.13
O00000104,U007392,2025-01-23T05:17:17.549772,processing,459.63
O00000105,U008882,2024-08-14T17:59:52.580136,shipped,164.91
O00000106,U008953,2025-11-12T14:11:17.170135,returned,153.71
O00000107,U005095,2024-09-11T20:08:42.840796,cancelled,91.42
O00000108,U003853,2025-07-31T08:45:48.742449,cancelled,973.82
O00000109,U001398,2025-03-22T00:18:41.952477,returned,103.67
O00000110,U005833,2024-08-21T06:06:04.504958,returned,808.1
O00000111,U006403,2024-01-09T18:41:50.198698,cancelled,126.05
O00000112,U002203,2024-12-16T09:01:04.736779,shipped,1226.59
O00000113,U001974,2024-11-30T03:52:58.423074,cancelled,71.4
O00000114,U002688,2025-03-26T17:33:55.397021,completed,114.08
O00000115,U007745,2024-11-28T12:07:51.468105,cancelled,183.95
O00000116,U000180,2024-02-29T05:18:07.036596,processing,263.98
O00000117,U001913,2024-11-13T00:43:01.827134,returned,22.38
O00000118,U007481,2024-09-26T09:42:37.580130,processing,231.8
O00000119,U009061,2025-06-25T12:56:53.237744,shipped,71.07
O00000120,U000716,2024-10-23T06:33:46.384791,returned,354.29
O00000121,U001240,2025-05-25T22:08:43.503048,shipped,74.93
O00000122,U005566,2024-03-09T20:18:10.663939,processing,292.52
O00000123,U005052,2025-03-24T22:46:09.391960,completed,132.13
O00000124,U006150,2024-02-14T08:42:51.499314,completed,1541.87
O00000125,U005706,2024-02-15T06:08:51.660616,cancelled,1423.47
O00000126,U002931,2025-02-06T00:47:54.354461,processing,840.44
O00000127,U007738,2024-07-20T12:02:32.633098,cancelled,321.85
O00000128,U000975,2024-04-09T03:14:12.596676,shipped,39.0
O00000129,U003622,2024-06-30T07:50:34.266928,processing,587.55
O00000130,U004647,2024-03-02T06:21:44.789216,processing,390.56
O00000131,U000130,2025-01-24T23:34:39.156863,cancelled,36.54
O00000132,U002510,2024-08-07T01:26:55.956474,returned,183.58
O00000133,U007445,2025-09-07T02:01:22.823858,returned,71.59
O00000134,U004675,2024-09-04T21:21:09.765156,completed,35.22
O00000135,U002302,2025-06-29T16:37:42.016474,shipped,359.64
O00000136,U001440,2025-04-08T05:33:39.039346,cancelled,327.99
