review_id,order_id,product_id,user_id,rating,review_text,review_date
R00000528,O00000237,P001326,U001094,2,Color was different from images.,2025-10-14T12:03:56.749446
R00005792,O00002627,P000329,U001858,4,Highly recommend this brand.,2024-10-09T08:04:50.171793
R00036604,O00016798,P001160,U008109,4,Highly recommend this brand.,2024-06-03T05:11:16.787214
R00040163,O00018414,P001427,U006835,5,Highly recommend this brand.,2024-02-12T06:41:50.215810
R00031127,O00014300,P001639,U007148,3,Item arrived damaged.,2025-01-20T05:32:09.398860
R00012121,O00005571,P000545,U008471,2,Item arrived damaged.,2025-03-23T06:43:41.296484
R00000603,O00000268,P001726,U005394,4,"Not as expected, quality is poor.",2025-01-01T11:49:13.243196
R00010126,O00004654,P001747,U009810,2,"Excellent product, will buy again.",2025-09-07T13:15:38.158573
R00033877,O00015558,P000255,U004269,4,Decent product for the price.,2024-09-09T21:51:41.344570
R00019035,O00008786,P001146,U003737,4,Item arrived damaged.,2025-03-13T01:50:37.077642
R00003469,O00001572,P001532,U001968,5,Fast shipping and good packaging.,2025-03-04T07:13:59.921715
R00026357,O00012147,P000392,U003999,2,Customer service was helpful.,2025-03-08T06:52:03.068705
R00029656,O00013626,P000059,U000751,4,Highly recommend this brand.,2024-07-29T18:57:17.782337
R00015280,O00007040,P000613,U008311,5,"Not as expected, quality is poor.",2025-11-09T13:42:28.891181
R00024176,O00011156,P001381,U007526,5,"Not as expected, quality is poor.",2024-10-05T12:44:41.308784
R00000606,O00000270,P001724,U003564,3,Decent product for the price.,2025-10-03T15:36:52.463932
R00041037,O00018816,P001712,U003454,5,Value for money.,2024-02-13T23:19:10.286734
R00040442,O00018535,P000799,U007464,5,"Excellent product, will buy again.",2025-04-24T09:14:58.819185
R00015247,O00007026,P000556,U002283,5,"Excellent product, will buy again.",2024-09-20T07:19:18.975212
R00023765,O00010964,P001553,U009849,2,Fast shipping and good packaging.,2025-09-14T08:18:56.261529
R00004269,O00001952,P001923,U005570,5,Item arrived damaged.,2024-08-19T13:52:25.054923
R00017904,O00008274,P000346,U008162,3,"Excellent product, will buy again.",2024-07-15T22:48:26.153831
R00032422,O00014892,P000350,U008682,5,Customer service was helpful.,2024-12-08T01:46:17.402363
R00016010,O00007394,P000432,U007121,3,Fast shipping and good packaging.,2025-01-28T18:11:19.738436
R00026444,O00012188,P001306,U004144,3,Works perfectly!,2024-08-04T08:57:24.593895
R00008465,O00003872,P001472,U004495,4,Decent product for the price.,2025-07-25T06:58:21.508246
R00029713,O00013652,P000235,U004903,2,Value for money.,2024-04-20T10:12:17.124595
R00005102,O00002325,P000866,U000765,5,Highly recommend this brand.,2024-05-22T13:49:44.689814
R00003569,O00001615,P000845,U004108,2,"Not as expected, quality is poor.",2025-10-25T21:41:08.802076
R00035862,O00016473,P001516,U004679,2,Highly recommend this brand.,2025-01-14T18:55:08.653565
R00015152,O00006982,P001087,U007112,5,Fast shipping and good packaging.,2025-11-06T19:11:08.836213
R00023167,O00010687,P001829,U009789,4,Value for money.,2024-08-06T05:49:52.254711
R00002942,O00001345,P000092,U004534,3,"Excellent product, will buy again.",2025-07-05T11:23:49.485341
R00042740,O00019637,P001012,U005028,3,Fast shipping and good packaging.,2024-01-24T21:14:28.902153
R00006147,O00002782,P001243,U007201,4,"Not as expected, quality is poor.",2024-07-10T18:40:56.779273
R00038016,O00017435,P000967,U000612,3,"Excellent product, will buy again.",2025-01-17T01:24:34.402777
R00023675,O00010919,P001423,U003737,2,Color was different from images.,2024-10-19T10:56:55.071865
R00042063,O00019307,P000604,U008051,4,Color was different from images.,2024-02-08T19:58:41.660037
R00008251,O00003772,P000818,U008082,3,Color was different from images.,2024-01-08T11:47:16.447711
R00029063,O00013370,P000589,U002435,5,Item arrived damaged.,2025-03-31T21:08:13.404055
R00022965,O00010596,P000407,U007386,3,Color was different from images.,2024-10-21T06:44:35.217263
R00004484,O00002044,P000965,U001291,1,Works perfectly!,2025-10-22T12:35:33.447059
R00000324,O00000146,P000950,U004487,3,"Not as expected, quality is poor.",2024-01-10T00:13:58.975798
R00032093,O00014736,P001587,U000036,2,Decent product for the price.,2024-02-13T14:18:38.369217
R00008846,O00004046,P001243,U008399,1,Item arrived damaged.,2024-05-18T09:53:43.665162
R00012900,O00005925,P001840,U008539,4,Highly recommend this brand.,2024-03-15T05:06:52.740521
R00041921,O00019237,P001475,U009147,3,Decent product for the price.,2024-05-30T04:11:47.832034
R00025058,O00011566,P001928,U002472,5,Decent product for the price.,2025-04-21T01:14:58.641010
R00019148,O00008845,P001256,U005640,5,Highly recommend this brand.,2024-09-04T06:40:05.350785
R00023003,O00010615,P000023,U009910,4,Customer service was helpful.,2024-11-24T09:45:44.645364
R00029765,O00013682,P000509,U004805,2,Highly recommend this brand.,2025-08-26T23:18:31.792258
R00035653,O00016371,P001886,U006793,2,Decent product for the price.,2024-09-15T02:40:17.244829
R00008967,O00004104,P001774,U003917,5,Decent product for the price.,2024-11-19T20:54:44.672063
R00035481,O00016296,P000482,U003243,4,Decent product for the price.,2024-01-02T11:07:19.629607
R00016055,O00007415,P000851,U009316,1,Item arrived damaged.,2024-01-20T03:37:18.225369
R00016789,O00007753,P001591,U003375,3,Works perfectly!,2024-06-07T13:38:33.725463
R00025569,O00011793,P001659,U007172,5,Decent product for the price.,2025-11-14T10:50:00.400729
R00034176,O00015686,P000436,U001047,3,Highly recommend this brand.,2025-03-10T14:17:03.870161
R00016556,O00007647,P001922,U008062,4,Customer service was helpful.,2025-01-21T06:10:19.779237
R00005585,O00002543,P001775,U006773,3,Works perfectly!,2025-11-05T21:58:15.710800
R00037971,O00017416,P001617,U001833,3,Highly recommend this brand.,2024-12-11T08:16:35.105201
R00031237,O00014345,P000348,U004310,3,Customer service was helpful.,2025-07-21T14:45:32.195822
R00034011,O00015612,P001968,U004687,2,Highly recommend this brand.,2024-08-07T05:45:21.255378
R00016635,O00007683,P000302,U000814,2,"Not as expected, quality is poor.",2024-06-23T22:40:50.942092
R00019587,O00009059,P001525,U000002,3,"Not as expected, quality is poor.",2024-10-14T11:05:49.705315
R00021639,O00009989,P000324,U006287,5,Item arrived damaged.,2024-03-29T17:39:05.588271
